id,timestamp_utc,source_id,bess_id,quality,anomaly_score,health_state,anomaly_reason,pcs_phase_voltage_imbalance,pcs_phase_current_imbalance,pcs_dc_voltage_vs_bms_voltage_delta,pcs_dc_current_vs_bms_current_delta,pcs_soc_vs_bms_soc_delta,bms_temperature_spread,bms_cell_voltage_spread,pcs_phase_a_voltage,pcs_phase_b_voltage,pcs_phase_c_voltage,pcs_phase_a_current,pcs_phase_b_current,pcs_phase_c_current,pcs_dc_voltage,pcs_dc_current,pcs_grid_frequency,pcs_charge_discharge_power,pcs_total_active_power,pcs_soc,bms_cluster_total_voltage,bms_cluster_total_current,bms_can_hall_sampling_current,bms_display_soc,bms_soh,bms_cell_max_voltage,bms_cell_min_voltage,bms_battery_max_temperature,bms_battery_min_temperature,bms_average_temperature,bms_insulation_resistance,bms_pre_charge_total_voltage,pcs_fault_flag_count,bms_fault_flag_count,ml_numeric_complete,anomaly_score_ml,ml_predicted_anomaly
629871,2026-08-14T04:58:21.618839+00:00,external_ems_1,bess_1,good,0.4085,warning,PCS phase current imbalance high: 15.1; PCS DC current and BMS current mismatch: 44.8,2.2,15.1,3.2,44.8,0.0,1.8,3.0,235.3,236.2,234.0,111.2,119.6,104.5,880.7,-86.4,50.37,0.0,-79.9,89.6,877.5,-41.6,-49.6,89.6,100.0,3384.0,3381.0,26.6,24.8,25.2,20000.0,855.9,0,0,True,0.7402521454858569,True
629869,2026-08-14T04:58:20.629643+00:00,external_ems_1,bess_1,good,0.4085,warning,PCS phase current imbalance high: 15.1; PCS DC current and BMS current mismatch: 44.8,2.2,15.1,3.2,44.8,0.0,1.8,3.0,235.3,236.2,234.0,111.2,119.6,104.5,880.7,-86.4,50.37,0.0,-79.9,89.6,877.5,-41.6,-49.6,89.6,100.0,3384.0,3381.0,26.6,24.8,25.2,20000.0,855.9,0,0,True,0.7402521454858569,True
629867,2026-08-14T04:58:19.618554+00:00,external_ems_1,bess_1,good,0.4085,warning,PCS phase current imbalance high: 15.1; PCS DC current and BMS current mismatch: 44.8,2.2,15.1,3.2,44.8,0.0,1.8,3.0,235.3,236.2,234.0,111.2,119.6,104.5,880.7,-86.4,50.37,0.0,-79.9,89.6,877.5,-41.6,-49.6,89.6,100.0,3384.0,3381.0,26.6,24.8,25.2,20000.0,855.9,0,0,True,0.7402521454858569,True
629873,2026-08-14T04:58:22.618835+00:00,external_ems_1,bess_1,good,0.4085,warning,PCS phase current imbalance high: 15.1; PCS DC current and BMS current mismatch: 44.8,2.2,15.1,3.2,44.8,0.0,1.8,3.0,235.3,236.2,234.0,111.2,119.6,104.5,880.7,-86.4,50.37,0.0,-79.9,89.6,877.5,-41.6,-49.6,89.6,100.0,3384.0,3381.0,26.6,24.8,25.2,20000.0,855.9,0,0,True,0.7402521454858569,True
633477,2026-08-14T05:28:24.618576+00:00,external_ems_1,bess_1,good,0.4365,warning,PCS phase current imbalance high: 14.5; PCS DC current and BMS current mismatch: 46.6,0.7,14.5,0.7,46.6,0.0,2.0,6.0,238.5,238.7,238.0,105.5,98.4,112.9,879.9,-83.4,50.36,0.0,-71.7,94.7,880.6,-36.8,-46.5,94.7,100.0,3413.0,3407.0,26.7,24.7,25.2,20000.0,855.9,0,0,True,0.7390500224760412,True
633475,2026-08-14T05:28:23.628773+00:00,external_ems_1,bess_1,good,0.4365,warning,PCS phase current imbalance high: 14.5; PCS DC current and BMS current mismatch: 46.6,0.7,14.5,0.7,46.6,0.0,2.0,6.0,238.5,238.7,238.0,105.5,98.4,112.9,879.9,-83.4,50.36,0.0,-71.7,94.7,880.6,-36.8,-46.5,94.7,100.0,3413.0,3407.0,26.7,24.7,25.2,20000.0,855.9,0,0,True,0.7390500224760412,True
633481,2026-08-14T05:28:26.618636+00:00,external_ems_1,bess_1,good,0.4365,warning,PCS phase current imbalance high: 14.5; PCS DC current and BMS current mismatch: 46.6,0.7,14.5,0.7,46.6,0.0,2.0,6.0,238.5,238.7,238.0,105.5,98.4,112.9,879.9,-83.4,50.36,0.0,-71.7,94.7,880.6,-36.8,-46.5,94.7,100.0,3413.0,3407.0,26.7,24.7,25.2,20000.0,855.9,0,0,True,0.7390500224760412,True
633479,2026-08-14T05:28:25.629431+00:00,external_ems_1,bess_1,good,0.4365,warning,PCS phase current imbalance high: 14.5; PCS DC current and BMS current mismatch: 46.6,0.7,14.5,0.7,46.6,0.0,2.0,6.0,238.5,238.7,238.0,105.5,98.4,112.9,879.9,-83.4,50.36,0.0,-71.7,94.7,880.6,-36.8,-46.5,94.7,100.0,3413.0,3407.0,26.7,24.7,25.2,20000.0,855.9,0,0,True,0.7390500224760412,True
629863,2026-08-14T04:58:17.618651+00:00,external_ems_1,bess_1,good,0.5464,warning,PCS phase current imbalance high: 15.1; PCS DC current and BMS current mismatch: 53.4,2.2,15.1,4.2,53.4,0.0,1.8,3.0,235.3,236.2,234.0,111.2,119.6,104.5,880.7,-86.4,50.37,0.0,-79.9,89.6,876.5,-33.0,-43.6,89.6,100.0,3378.0,3375.0,26.6,24.8,25.2,20000.0,855.9,0,0,True,0.7352873932849159,True
629865,2026-08-14T04:58:18.629371+00:00,external_ems_1,bess_1,good,0.5464,warning,PCS phase current imbalance high: 15.1; PCS DC current and BMS current mismatch: 53.4,2.2,15.1,4.2,53.4,0.0,1.8,3.0,235.3,236.2,234.0,111.2,119.6,104.5,880.7,-86.4,50.37,0.0,-79.9,89.6,876.5,-33.0,-43.6,89.6,100.0,3378.0,3375.0,26.6,24.8,25.2,20000.0,855.9,0,0,True,0.7352873932849159,True
632825,2026-08-14T05:22:58.628985+00:00,external_ems_1,bess_1,good,0.4959,warning,PCS phase current imbalance high: 24.0; PCS DC current and BMS current mismatch: 49.4,1.2,24.0,0.2,49.4,0.0,1.9,4.0,237.3,236.1,236.9,76.4,89.1,65.1,880.4,-11.0,50.37,0.0,-85.1,93.9,880.6,-60.4,-54.5,93.9,100.0,3403.0,3399.0,26.7,24.8,25.2,20000.0,855.9,0,0,True,0.7330853603423825,True
632335,2026-08-14T05:18:53.630755+00:00,external_ems_1,bess_1,good,0.3944,warning,PCS phase current imbalance high: 21.6; PCS DC current and BMS current mismatch: 43.3,1.5,21.6,1.7,43.3,0.0,1.9,5.0,238.3,236.8,238.0,99.2,84.2,105.8,881.9,-16.3,50.32,0.0,-26.4,93.5,880.2,-59.6,-52.8,93.5,100.0,3406.0,3401.0,26.7,24.8,25.3,20000.0,855.9,0,0,True,0.7294457692478246,True
632859,2026-08-14T05:23:15.619314+00:00,external_ems_1,bess_1,good,0.3531,warning,PCS phase current imbalance high: 16.6; PCS DC current and BMS current mismatch: 41.2,0.4,16.6,1.3,41.2,0.0,1.9,5.0,239.7,239.3,239.4,99.7,88.9,105.5,878.9,-86.1,50.34,0.0,-17.3,93.9,880.2,-44.9,-50.1,93.9,100.0,3396.0,3391.0,26.7,24.8,25.2,20000.0,855.9,0,0,True,0.7279965530659042,True
632861,2026-08-14T05:23:16.618623+00:00,external_ems_1,bess_1,good,0.3531,warning,PCS phase current imbalance high: 16.6; PCS DC current and BMS current mismatch: 41.2,0.4,16.6,1.3,41.2,0.0,1.9,5.0,239.7,239.3,239.4,99.7,88.9,105.5,878.9,-86.1,50.34,0.0,-17.3,93.9,880.2,-44.9,-50.1,93.9,100.0,3396.0,3391.0,26.7,24.8,25.2,20000.0,855.9,0,0,True,0.7279965530659042,True
